fecha_hora,store_id,tipo,estado,email,estado_envio,fecha_envio
2025-08-08 17:50:26,032001,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,032801,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,033201,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,033401,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,034301,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,034601,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,035801,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,039001,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,041601,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,041701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,042201,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,042601,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,042901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,043801,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,043901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,044401,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,044901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,045201,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,046501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,046801,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,051901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,052801,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,053801,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,053901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,054101,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,054501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,055301,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,055701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,055901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,056001,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,056201,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,056501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,057001,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,057701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,059301,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,059401,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,059701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,060101,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,060701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,061501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,061801,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,061901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,062401,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,062701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,063001,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,063701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,064101,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,065201,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,065501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,065801,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,066001,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,066901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,067101,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,067701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,068001,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,068101,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,068201,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,068601,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,069201,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,069801,correo,enviado,,enviado,2025-08-08 17:50:26
